code,name
VAP,北京北
BOP,北京东
BJP,北京
VNP,北京南
IPP,北京大兴
BXP,北京西
IFP,北京朝阳
CUW,重庆北
CQW,重庆
CRW,重庆南
CXW,重庆西
SHH,上海
SNH,上海南
AOH,上海虹桥
SXH,上海西
TBP,天津北
TJP,天津
TIP,天津南
TXP,天津西
YTM,万象
BJB,滨江
BRZ,百浪
BNM,班猫箐
BIV,北营
CCT,长春
CET,长春南
CRT,长春西
ICW,成都东
CNW,成都南
CDW,成都
CMW,成都西
CAJ,陈官营
CSQ,长沙
CWQ,长沙南
RXQ,长沙西
CVK,常庄
DCT,大成
DNZ,大拟
DPM,读书铺
DZZ,大王滩
DYZ,大元
FSJ,丰水村
FZS,福州
FYS,福州南
GDJ,甘草店
GAK,钢城
GKT,孤家子
GNM,广南卫
GIW,贵阳
KQW,贵阳北
KEW,贵阳东
GBQ,广州北
GGQ,广州东
GZQ,广州
IZQ,广州南
GXQ,广州西
HTB,哈尔滨北
HBB,哈尔滨
VBB,哈尔滨东
VAB,哈尔滨西
COH,合肥北城
HFH,合肥
ENH,合肥南
HTT,皇姑屯
NDC,呼和浩特东
HHC,呼和浩特
HMQ,海口东
VUQ,海口
HGH,杭州东
HZH,杭州
XHH,杭州南
JMM,金马村
JNK,济南
MDK,济南东
JGK,济南西
KMM,昆明
KOM,昆明南
VHK,历城
ULK,蔺家楼
UQJ,龙泉寺
LSO,拉萨
LUM,乐善村
LBT,林盛堡
LTJ,骆驼巷
VIK,莱芜北
LVJ,兰州东
LZJ,兰州
LQJ,兰州新区
LAJ,兰州西
MOM,茂舍祖
NCG,南昌
NCZ,宁村
NXG,南昌西
NJH,南京
NKH,南京南
ULZ,那罗
NRZ,南宁北
NFZ,南宁东
NNZ,南宁
NXZ,南宁西
NPZ,那铺
NQJ,暖泉
PXJ,坡底下
QDM,七甸
ZWT,世博园
VVP,石家庄北
SXP,石家庄东
SJJ,邵家堂
SJP,石家庄
SHM,施家嘴
SYT,沈阳
SBT,沈阳北
SDT,沈阳东
SOT,沈阳南
OYJ,水源
OOT,沈阳西
SAJ,桑园子
TBV,太原北
TDV,太原东
TNV,太原南
TYV,太原
WHN,武汉
LFN,武汉东
WJJ,王家湾
WMR,乌鲁木齐南
WAR,乌鲁木齐
WJZ,吴圩机场
WZB,王兆屯
EAY,西安北
XAY,西安
XUJ,西固城
EKM,西街口
XTJ,许家台
XNO,西宁
XAM,小哨
XWQ,新塘
XYK,雪野
YIJ,银川
YYM,永丰营
YJT,一间堡
YVM,宜耐
ABM,羊堡
YUT,榆树台
CAY,引镇
ZUJ,朱家窑
VQK,章丘南
ZAF,郑州东
ZIF,郑州航空港
ZZF,郑州
XPF,郑州西
AAX,昂昂溪
ABB,阿城北
ACB,阿城
ADX,安达
ARW,安德
ARX,阿尔山北
ART,阿尔山
AJU,安吉
PYW,安靖
AJB,安家
AKY,安康
ASR,阿克苏
AER,阿克陶
AOR,阿拉尔
AHX,阿里河
AKR,阿拉山口
AUR,阿勒泰
ALN,安陆
AXN,安陆西
APT,安平
AQH,安庆
AIU,安庆西
ASW,安顺
AST,鞍山
ASE,安顺西
AXT,鞍山西
ASH,安亭北
AXU,安亭西
AYF,安阳
ADF,安阳东
BAB,北安
BBZ,博白
BMH,蚌埠南
BBH,蚌埠
BCR,巴楚
BCT,白城
BII,北辰
BPP,宝坻北
VLP,八达岭长城
BMP,保定东
BEP,北戴河
BDP,保定
ILP,八达岭
BBN,巴东
FGQ,八方山
BGM,柏果
BHZ,北海
BUT,布海
YKP,滨海
FCP,滨海北
BEL,白河
FHP,滨海西
BOE,毕节
BJY,宝鸡
BAP,白涧
BBY,宝鸡南
FTP,北京丰台
BKB,白奎堡
BKX,博克图
BER,博乐
BLX,巴林
BLB,勃利
BFQ,白马井
BMB,八面通
BPT,北票
BUB,宝清
BQB,宝泉岭
BIZ,百色
HJL,白山市
BTT,北台
BDC,包头东
BTC,包头
BXR,北屯市
BBB,宾西北
BXT,本溪
BWW,步行街
UKZ,宾阳
BEC,白云鄂博
BVE,白云北
BBA,白云机场北
FWP,白洋淀
BYB,背荫河
FHW,百宜
BAC,巴彦高勒
BYT,鲅鱼圈
BXJ,白银西
BXE,白云西
BFY,彬州东
IEW,巴中
BIK,滨州
BZH,亳州
BZB,宾州
BNU,亳州南
CBC,查布嘎
CBN,赤壁
CUL,长白山
VGQ,常德
CDP,承德
CDT,长甸
IVP,承德南
POP,曹妃甸东
CID,赤峰
PGP,曹妃甸港
CFD,赤峰南
CAX,嵯岗
CGT,柴岗
CGF,长葛北
CGV,柴沟堡
CGY,城固
CZB,成高子
WBW,草海
GUH,巢湖东
CHB,柴河
CIH,巢湖
KNW,从江
EBV,蔡家崖
CIS,长乐东
CAS,长乐
FVH,长临河
CUQ,慈利
CDG,茶陵
KOP,崇礼
CLP,昌黎
CLA,长流
CVS,长乐南
CMB,晨明
CEH,苍南
VBP,昌平北
FQQ,常平东
YBW,翠屏
CPP,昌平
CQJ,长庆桥
CRG,崇仁
COW,长寿北
CBQ,潮汕
CSC,察素齐
CTE,朝天
CNS,长汀南
CTY,朝天南
CTT,昌图
CPT,昌图西
CDB,长汀镇
CWY,长武
CXE,苍溪
CXQ,辰溪
CIP,磁县
CUM,楚雄
CXK,曹县
CIA,城西
CFH,长兴南
CXT,陈相屯
CAL,春阳
CNQ,潮阳
CYL,朝阳川
CYE,朝阳湖
CUH,滁州北
ESH,常州北
CBF,长治北
CUF,长治东
CZJ,长征
IYH,池州
CXH,滁州
CZQ,郴州
COP,沧州
CZH,常州
CZF,长治
CZE,崇州
COZ,崇左南
CZZ,崇左
ICQ,郴州西
CBP,沧州西
RNT,大安北
DCZ,东安东
DCR,达坂城
DYJ,定边
DCJ,东岔
DUT,丹东
UFQ,东方
DGY,丹凤
KRQ,大丰
DFB,东方红
DNE,大方南
DPJ,东风南
RGT,东港北
DMQ,东莞东
DNA,东莞南
RMT,大孤山
RTQ,东莞
WGQ,东莞西
DQD,大红旗
DHD,大虎山
DHL,敦化
DHJ,敦煌
DHT,德惠
DXT,德惠西
DJB,东京城
DJT,达家沟
DJE,垫江
RRQ,道滘
DFP,大涧
FWQ,洞井
DDW,都江堰
DKA,洞口
DFT,大连北
DHO,德令哈
DCB,达连河
DNY,大荔
DKM,大理
DLT,大连
JAK,大明湖
DTB,得莫利
DNF,东明县
DNG,定南
DIG,定南南
DPI,大埔
LFX,大庆东
DZX,大庆
DQB,对青山
RHX,大庆西
DOC,东胜
RWW,独山
PRH,砀山南
DQT,大石桥
DYC,东胜西
DMV,大同南
DTV,大同
DNT,大屯
DTO,大通西
DFJ,大武口
DWE,党武
DNJ,定西北
IWP,大兴机场
DSJ,定西
DXG,东乡
DXX,大兴
DYW,德阳
DYN,当阳
DYH,丹阳
DBN,大冶北
IAW,大英东
KJW,都匀东
DPK,东营
DEE,大邑
